Reference Number,Topic Match Score,Title,Year,Date,Authors,Abstract,Journal,Citation Count,Citation Velocity,DOI,Link,External IDs,Is Open Access,Open Access Link,Semantic Scholar ID,Relevance Summary
"33","9.2","Causal Interventions on Causal Paths: Mapping GPT-2's Reasoning From Syntax to Semantics","2024","2024-10-28","Isabelle Lee, Joshua Lum, Ziyi Liu, Dani Yogatama","While interpretability research has shed light on some internal algorithms utilized by transformer-based LLMs, reasoning in natural language, with its deep contextuality and ambiguity, defies easy categorization. As a result, formulating clear and motivating questions for circuit analysis that rely on well-defined in-domain and out-of-domain examples required for causal interventions is challenging. Although significant work has investigated circuits for specific tasks, such as indirect object identification (IOI), deciphering natural language reasoning through circuits remains difficult due to its inherent complexity. In this work, we take initial steps to characterize causal reasoning in LLMs by analyzing clear-cut cause-and-effect sentences like""I opened an umbrella because it started raining,""where causal interventions may be possible through carefully crafted scenarios using GPT-2 small. Our findings indicate that causal syntax is localized within the first 2-3 layers, while certain heads in later layers exhibit heightened sensitivity to nonsensical variations of causal sentences. This suggests that models may infer reasoning by (1) detecting syntactic cues and (2) isolating distinct heads in the final layers that focus on semantic relationships.","ArXiv","0","0","10.48550/arXiv.2410.21353","https://doi.org/10.48550/arXiv.2410.21353","","true","{'url': 'https://arxiv.org/pdf/2410.21353.pdf', 'status': 'GOLD'}","406bbf59faceca59aa89b30f17bea590f39afb84",""
"34","6.5","Does ChatGPT Have a Mind?","2024","2024-06-27","Simon Goldstein, B. Levinstein","This paper examines the question of whether Large Language Models (LLMs) like ChatGPT possess minds, focusing specifically on whether they have a genuine folk psychology encompassing beliefs, desires, and intentions. We approach this question by investigating two key aspects: internal representations and dispositions to act. First, we survey various philosophical theories of representation, including informational, causal, structural, and teleosemantic accounts, arguing that LLMs satisfy key conditions proposed by each. We draw on recent interpretability research in machine learning to support these claims. Second, we explore whether LLMs exhibit robust dispositions to perform actions, a necessary component of folk psychology. We consider two prominent philosophical traditions, interpretationism and representationalism, to assess LLM action dispositions. While we find evidence suggesting LLMs may satisfy some criteria for having a mind, particularly in game-theoretic environments, we conclude that the data remains inconclusive. Additionally, we reply to several skeptical challenges to LLM folk psychology, including issues of sensory grounding, the""stochastic parrots""argument, and concerns about memorization. Our paper has three main upshots. First, LLMs do have robust internal representations. Second, there is an open question to answer about whether LLMs have robust action dispositions. Third, existing skeptical challenges to LLM representation do not survive philosophical scrutiny.","ArXiv","10","7.4","10.48550/arXiv.2407.11015","https://doi.org/10.48550/arXiv.2407.11015","","true","{'url': 'https://arxiv.org/pdf/2407.11015.pdf', 'status': 'GOLD'}","f68fd39185a782965b7549d88c82d6430adc06a9",""
"35","5.3","Can structural correspondences ground real world representational content in Large Language Models?","2025","2025-06-19","Iwan Williams","Large Language Models (LLMs) such as GPT-4 produce compelling responses to a wide range of prompts. But their representational capacities are uncertain. Many LLMs have no direct contact with extra-linguistic reality: their inputs, outputs and training data consist solely of text, raising the questions (1) can LLMs represent anything and (2) if so, what? In this paper, I explore what it would take to answer these questions according to a structural-correspondence based account of representation, and make an initial survey of this evidence. I argue that the mere existence of structural correspondences between LLMs and worldly entities is insufficient to ground representation of those entities. However, if these structural correspondences play an appropriate role - they are exploited in a way that explains successful task performance - then they could ground real world contents. This requires overcoming a challenge: the text-boundedness of LLMs appears, on the face of it, to prevent them engaging in the right sorts of tasks.","ArXiv","0","0","10.48550/arXiv.2506.16370","https://doi.org/10.48550/arXiv.2506.16370","","true","{'url': 'https://arxiv.org/pdf/2506.16370.pdf', 'status': 'GOLD'}","4450c2f28ee423cff59fc86083e8e204ad3ba0db",""
"36","3.8","The Vector Grounding Problem","2023","2023-04-04","Dimitri Coelho Mollo, Raphael Milliere","The remarkable performance of large language models (LLMs) on complex linguistic tasks has sparked debate about their capabilities. Unlike humans, these models learn language solely from textual data without directly interacting with the world. Yet they generate seemingly meaningful text on diverse topics. This achievement has renewed interest in the classical `Symbol Grounding Problem' -- the question of whether the internal representations and outputs of symbolic AI systems can possess intrinsic meaning that is not parasitic on external interpretation. Although modern LLMs compute over vectors rather than symbols, an analogous problem arises for these systems, which we call the Vector Grounding Problem. This paper has two main goals. First, we distinguish five main notions of grounding that are often conflated in the literature, and argue that only one of them, which we call referential grounding, is relevant to the Vector Grounding Problem. Second, drawing on philosophical theories of representational content, we provide two arguments for the claim that LLMs and related systems can achieve referential grounding: (1) through preference fine-tuning methods that explicitly establish world-involving functions, and (2) through pre-training alone, which in limited domains may select for internal states with world-involving content, as mechanistic interpretability research suggests. Through these pathways, LLMs can establish connections to the world sufficient for intrinsic meaning. One potentially surprising implication of our discussion is that that multimodality and embodiment are neither necessary nor sufficient to overcome the Grounding Problem.","ArXiv","31","12","10.48550/arXiv.2304.01481","https://doi.org/10.48550/arXiv.2304.01481","","true","{'url': 'http://arxiv.org/pdf/2304.01481', 'status': 'GOLD'}","ad29ced9603a5909fce89dbf919a9cad926eda67",""
"37","3.7","Detecting (Un)answerability in Large Language Models with Linear Directions","2025","2025-09-26","Maor Juliet Lavi, Tova Milo, Mor Geva","Large language models (LLMs) often respond confidently to questions even when they lack the necessary information, leading to hallucinated answers. In this work, we study the problem of (un)answerability detection, focusing on extractive question answering (QA) where the model should determine if a passage contains sufficient information to answer a given question. We propose a simple approach for identifying a direction in the model's activation space that captures unanswerability and uses it for classification. This direction is selected by applying activation additions during inference and measuring their impact on the model's abstention behavior. We show that projecting hidden activations onto this direction yields a reliable score for (un)answerability classification. Experiments on two open-weight LLMs and four extractive QA benchmarks show that our method effectively detects unanswerable questions and generalizes better across datasets than existing prompt-based and classifier-based approaches. Moreover, the obtained directions extend beyond extractive QA to unanswerability that stems from factors, such as lack of scientific consensus and subjectivity. Last, causal interventions show that adding or ablating the directions effectively controls the abstention behavior of the model.","ArXiv","0","0","10.48550/arXiv.2509.22449","https://doi.org/10.48550/arXiv.2509.22449","","true","{'url': 'https://arxiv.org/pdf/2509.22449.pdf', 'status': 'GOLD'}","36a920a7692e5fbe63c37d7e1e1b63576293ac61",""
"38","3.3","On Mechanistic Circuits for Extractive Question-Answering","2025","2025-02-12","Samyadeep Basu, V. Morariu, Zichao Wang, Ryan Rossi, Cherry Zhao, S. Feizi, Varun Manjunatha","Large language models are increasingly used to process documents and facilitate question-answering on them. In our paper, we extract mechanistic circuits for this real-world language modeling task: context-augmented language modeling for extractive question-answering (QA) tasks and understand the potential benefits of circuits towards downstream applications such as data attribution to context information. We extract circuits as a function of internal model components (e.g., attention heads, MLPs) using causal mediation analysis techniques. Leveraging the extracted circuits, we first understand the interplay between the model's usage of parametric memory and retrieved context towards a better mechanistic understanding of context-augmented language models. We then identify a small set of attention heads in our circuit which performs reliable data attribution by default, thereby obtaining attribution for free in just the model's forward pass. Using this insight, we then introduce ATTNATTRIB, a fast data attribution algorithm which obtains state-of-the-art attribution results across various extractive QA benchmarks. Finally, we show the possibility to steer the language model towards answering from the context, instead of the parametric memory by using the attribution from ATTNATTRIB as an additional signal during the forward pass. Beyond mechanistic understanding, our paper provides tangible applications of circuits in the form of reliable data attribution and model steering.","ArXiv","0","0","10.48550/arXiv.2502.08059","https://doi.org/10.48550/arXiv.2502.08059","","true","{'url': 'https://arxiv.org/pdf/2502.08059.pdf', 'status': 'GOLD'}","3d4509f424cf83f94d4e732ea27f68367ff97122",""
"39","2.1","Caught in the Act: a mechanistic approach to detecting deception","2025","2025-08-27","Gerard Boxo, Ryan Socha, Daniel Yoo, Shivam Raval","Sophisticated instrumentation for AI systems might have indicators that signal misalignment from human values, not unlike a""check engine""light in cars. One such indicator of misalignment is deceptiveness in generated responses. Future AI instrumentation may have the ability to detect when an LLM generates deceptive responses while reasoning about seemingly plausible but incorrect answers to factual questions. In this work, we demonstrate that linear probes on LLMs internal activations can detect deception in their responses with extremely high accuracy. Our probes reach a maximum of greater than 90% accuracy in distinguishing between deceptive and non-deceptive arguments generated by llama and qwen models ranging from 1.5B to 14B parameters, including their DeepSeek-r1 finetuned variants. We observe that probes on smaller models (1.5B) achieve chance accuracy at detecting deception, while larger models (greater than 7B) reach 70-80%, with their reasoning counterparts exceeding 90%. The layer-wise probe accuracy follows a three-stage pattern across layers: near-random (50%) in early layers, peaking in middle layers, and slightly declining in later layers. Furthermore, using an iterative null space projection approach, we find multitudes of linear directions that encode deception, ranging from 20 in Qwen 3B to nearly 100 in DeepSeek 7B and Qwen 14B models.","ArXiv","0","0","10.48550/arXiv.2508.19505","https://doi.org/10.48550/arXiv.2508.19505","","true","{'url': 'https://arxiv.org/pdf/2508.19505.pdf', 'status': 'GOLD'}","428c5570ce5d55521f7a59c9e4888dbe958c15be",""
"40","1.9","Position-aware Automatic Circuit Discovery","2025","2025-02-07","Tal Haklay, Hadas Orgad, David Bau, Aaron Mueller, Yonatan Belinkov","A widely used strategy to discover and understand language model mechanisms is circuit analysis. A circuit is a minimal subgraph of a model's computation graph that executes a specific task. We identify a gap in existing circuit discovery methods: they assume circuits are position-invariant, treating model components as equally relevant across input positions. This limits their ability to capture cross-positional interactions or mechanisms that vary across positions. To address this gap, we propose two improvements to incorporate positionality into circuits, even on tasks containing variable-length examples. First, we extend edge attribution patching, a gradient-based method for circuit discovery, to differentiate between token positions. Second, we introduce the concept of a dataset schema, which defines token spans with similar semantics across examples, enabling position-aware circuit discovery in datasets with variable length examples. We additionally develop an automated pipeline for schema generation and application using large language models. Our approach enables fully automated discovery of position-sensitive circuits, yielding better trade-offs between circuit size and faithfulness compared to prior work.","","3","4.1","10.48550/arXiv.2502.04577","https://doi.org/10.48550/arXiv.2502.04577","","true","{'url': 'https://arxiv.org/pdf/2502.04577.pdf', 'status': 'GOLD'}","b7ec8f0ba450d654cc7ecd8e9cca5022b72dd38d",""
"41","1.6","LLM Knowledge is Brittle: Truthfulness Representations Rely on Superficial Resemblance","2025","2025-10-13","Patrick Haller, Mark Ibrahim, Polina Kirichenko, Levent Sagun, Samuel J. Bell","For Large Language Models (LLMs) to be reliable, they must learn robust knowledge that can be generally applied in diverse settings -- often unlike those seen during training. Yet, extensive research has shown that LLM performance can be brittle, with models exhibiting excessive sensitivity to trivial input variations. In this work, we explore whether this brittleness is a direct result of unstable internal knowledge representations. To explore this question, we build on previous work showing that LLM representations encode statement truthfulness -- i.e., true, factual statements can be easily separated from false, inaccurate ones. Specifically, we test the robustness of learned knowledge by evaluating representation separability on samples that have undergone superficial transformations to drive them out-of-distribution (OOD), such as typos or reformulations. By applying semantically-preserving perturbations, we study how separability degrades as statements become more OOD, across four LLM families, five evaluation datasets, and three knowledge probing methods. Our results reveal that internal representations of statement truthfulness collapse as the samples'presentations become less similar to those seen during pre-training. While LLMs can often distinguish between true and false statements when they closely resemble the pre-training data, this ability is highly dependent on the statement's exact surface form. These findings offer a possible explanation for brittle benchmark performance: LLMs may learn shallow, non-robust knowledge representations that allow for only limited generalizability. Our work presents a fundamental challenge for the utility of truthfulness probes, and more broadly, calls for further research on improving the robustness of learned knowledge representations.","ArXiv","0","0","","https://arxiv.org/abs/2510.11905","","true","{'url': 'https://arxiv.org/pdf/2510.11905.pdf', 'status': 'GOLD'}","2045aa04f13ecd3496be82736ffd644de04f5f33",""
"42","1.6","Discovering Variable Binding Circuitry with Desiderata","2023","2023-07-07","Xander Davies, Max Nadeau, Nikhil Prakash, Tamar Rott Shaham, David Bau","Recent work has shown that computation in language models may be human-understandable, with successful efforts to localize and intervene on both single-unit features and input-output circuits. Here, we introduce an approach which extends causal mediation experiments to automatically identify model components responsible for performing a specific subtask by solely specifying a set of \textit{desiderata}, or causal attributes of the model components executing that subtask. As a proof of concept, we apply our method to automatically discover shared \textit{variable binding circuitry} in LLaMA-13B, which retrieves variable values for multiple arithmetic tasks. Our method successfully localizes variable binding to only 9 attention heads (of the 1.6k) and one MLP in the final token's residual stream.","ArXiv","18","7.7","10.48550/arXiv.2307.03637","https://doi.org/10.48550/arXiv.2307.03637","","true","{'url': 'https://arxiv.org/pdf/2307.03637', 'status': 'GOLD'}","b5131c07be779d90af946e6f370156b9506b7c0d",""
"43","1.3","An explainable transformer circuit for compositional generalization","2025","2025-02-19","Cheng Tang, Brenden Lake, Mehrdad Jazayeri","Compositional generalization-the systematic combination of known components into novel structures-remains a core challenge in cognitive science and machine learning. Although transformer-based large language models can exhibit strong performance on certain compositional tasks, the underlying mechanisms driving these abilities remain opaque, calling into question their interpretability. In this work, we identify and mechanistically interpret the circuit responsible for compositional induction in a compact transformer. Using causal ablations, we validate the circuit and formalize its operation using a program-like description. We further demonstrate that this mechanistic understanding enables precise activation edits to steer the model's behavior predictably. Our findings advance the understanding of complex behaviors in transformers and highlight such insights can provide a direct pathway for model control.","ArXiv","7","10","10.48550/arXiv.2502.15801","https://doi.org/10.48550/arXiv.2502.15801","","true","{'url': 'https://arxiv.org/pdf/2502.15801.pdf', 'status': 'GOLD'}","bd2b71e7652862ffe8ff5633c157dbd006c0e82f",""
"44","1.2","Personas as a Way to Model Truthfulness in Language Models","2023","2023-10-27","Nitish Joshi, Javier Rando, Abulhair Saparov, Najoung Kim, He He","Large language models (LLMs) are trained on vast amounts of text from the internet, which contains both factual and misleading information about the world. While unintuitive from a classic view of LMs, recent work has shown that the truth value of a statement can be elicited from the model’s representations. This paper presents an explanation for why LMs appear to know the truth despite not being trained with truth labels. We hypothesize that the pretraining data is generated by groups of (un)truthful agents whose outputs share common features, and they form a (un)truthful persona. By training on this data, LMs can infer and represent the persona in its activation space. This allows the model to separate truth from falsehoods and controls the truthfulness of its generation. We show evidence for the persona hypothesis via two observations: (1) we can probe whether a model’s answer will be truthful before it is generated; (2) finetuning a model on a set of facts improves its truthfulness on unseen topics. Next, using arithmetics as a synthetic environment, we show that structures of the pretraining data are crucial for the model to infer the truthful persona. Overall, our findings suggest that models can exploit hierarchical structures in the data to learn abstract concepts like truthfulness.","ArXiv","39","19.3","10.48550/arXiv.2310.18168","https://doi.org/10.48550/arXiv.2310.18168","","true","{'url': 'https://arxiv.org/pdf/2310.18168.pdf', 'status': 'GOLD'}","fc5b8b891a4613a073c8ad14c3e2a465b799848f",""
"45","0.9","No Answer Needed: Predicting LLM Answer Accuracy from Question-Only Linear Probes","2025","2025-09-12","Iv'an Vicente Moreno Cencerrado, Arnau Padr'es Masdemont, Anton Gonzalvez Hawthorne, David Demitri Africa, Lorenzo Pacchiardi","Do large language models (LLMs) anticipate when they will answer correctly? To study this, we extract activations after a question is read but before any tokens are generated, and train linear probes to predict whether the model's forthcoming answer will be correct. Across three open-source model families ranging from 7 to 70 billion parameters, projections on this""in-advance correctness direction""trained on generic trivia questions predict success in distribution and on diverse out-of-distribution knowledge datasets, outperforming black-box baselines and verbalised predicted confidence. Predictive power saturates in intermediate layers, suggesting that self-assessment emerges mid-computation. Notably, generalisation falters on questions requiring mathematical reasoning. Moreover, for models responding""I don't know"", doing so strongly correlates with the probe score, indicating that the same direction also captures confidence. By complementing previous results on truthfulness and other behaviours obtained with probes and sparse auto-encoders, our work contributes essential findings to elucidate LLM internals.","ArXiv","1","7.2","10.48550/arXiv.2509.10625","https://doi.org/10.48550/arXiv.2509.10625","","true","{'url': 'https://arxiv.org/pdf/2509.10625.pdf', 'status': 'GOLD'}","a3952fdc924dbe13b4f1b76e11b8fcce7d4c8595",""
"46","0.8","Emergent Symbolic Mechanisms Support Abstract Reasoning in Large Language Models","2025","2025-02-27","Yukang Yang, Declan Campbell, Kaixuan Huang, Mengdi Wang, Jonathan D. Cohen, Taylor Webb","Many recent studies have found evidence for emergent reasoning capabilities in large language models (LLMs), but debate persists concerning the robustness of these capabilities, and the extent to which they depend on structured reasoning mechanisms. To shed light on these issues, we study the internal mechanisms that support abstract reasoning in LLMs. We identify an emergent symbolic architecture that implements abstract reasoning via a series of three computations. In early layers, symbol abstraction heads convert input tokens to abstract variables based on the relations between those tokens. In intermediate layers, symbolic induction heads perform sequence induction over these abstract variables. Finally, in later layers, retrieval heads predict the next token by retrieving the value associated with the predicted abstract variable. These results point toward a resolution of the longstanding debate between symbolic and neural network approaches, suggesting that emergent reasoning in neural networks depends on the emergence of symbolic mechanisms.","ArXiv","10","14.7","10.48550/arXiv.2502.20332","https://doi.org/10.48550/arXiv.2502.20332","","true","{'url': 'https://arxiv.org/pdf/2502.20332.pdf', 'status': 'GOLD'}","38bbac07cf6affca49a46f3b660a4f0e9d89b6fa",""
"47","0.7","Operationalising Representation in Natural Language Processing","2023","2023-06-14","J. Harding","Despite its centrality in the philosophy of cognitive science, there has been little prior philosophical work engaging with the notion of representation in contemporary NLP practice. This paper attempts to fill that lacuna: drawing on ideas from cognitive science, I introduce a framework for evaluating the representational claims made about components of neural NLP models, proposing three criteria with which to evaluate whether a component of a model represents a property and operationalising these criteria using probing classifiers, a popular analysis technique in NLP (and deep learning more broadly). The project of operationalising a philosophically-informed notion of representation should be of interest to both philosophers of science and NLP practitioners. It affords philosophers a novel testing-ground for claims about the nature of representation, and helps NLPers organise the large literature on probing experiments, suggesting novel avenues for empirical research.","ArXiv","15","6.3","10.1086/728685","https://doi.org/10.1086/728685","","true","{'url': 'https://arxiv.org/pdf/2306.08193.pdf', 'status': 'GOLD'}","3c8dcd7481fda5576b61aaa77081884bd4e1ffc9",""
"48","0.6","Re-evaluating Theory of Mind evaluation in large language models","2025","2025-02-28","Jennifer Hu, Felix Sosa, Tomer D. Ullman","The question of whether large language models (LLMs) possess Theory of Mind (ToM)-often defined as the ability to reason about others' mental states-has sparked significant scientific and public interest. However, the evidence as to whether LLMs possess ToM is mixed, and the recent growth in evaluations has not resulted in a convergence. Here, we take inspiration from cognitive science to re-evaluate the state of ToM evaluation in LLMs. We argue that a major reason for the disagreement on whether LLMs have ToM is a lack of clarity on whether models should be expected to match human behaviours, or the computations underlying those behaviours. We also highlight ways in which current evaluations may be deviating from 'pure' measurements of ToM abilities, which also contributes to the confusion. We conclude by discussing several directions for future research, including the relationship between ToM and pragmatic communication, which could advance our understanding of artificial systems as well as human cognition.This article is part of the theme issue 'At the heart of human communication: new views on the complex relationship between pragmatics and Theory of Mind'.","Philosophical transactions of the Royal Society of London. Series B, Biological sciences","6","8.9","10.48550/arXiv.2502.21098","https://doi.org/10.48550/arXiv.2502.21098","","true","{'url': 'https://arxiv.org/pdf/2502.21098.pdf', 'status': 'GOLD'}","0bfcdbdfd063797dc02d994c431e952d4045a093",""
"49","0.6","Towards Uncovering How Large Language Model Works: An Explainability Perspective","2024","2024-02-16","Haiyan Zhao, Fan Yang, Bo Shen, Himabindu Lakkaraju, Mengnan Du","Large language models (LLMs) have led to breakthroughs in language tasks, yet the internal mechanisms that enable their remarkable generalization and reasoning abilities remain opaque. This lack of transparency presents challenges such as hallucinations, toxicity, and misalignment with human values, hindering the safe and beneficial deployment of LLMs. This paper aims to uncover the mechanisms underlying LLM functionality through the lens of explainability. First, we review how knowledge is architecturally composed within LLMs and encoded in their internal parameters via mechanistic interpretability techniques. Then, we summarize how knowledge is embedded in LLM representations by leveraging probing techniques and representation engineering. Additionally, we investigate the training dynamics through a mechanistic perspective to explain phenomena such as grokking and memorization. Lastly, we explore how the insights gained from these explanations can enhance LLM performance through model editing, improve efficiency through pruning, and better align with human values.","ArXiv","21","12.3","","https://arxiv.org/abs/2402.10688","","true","{'url': 'https://arxiv.org/pdf/2402.10688.pdf', 'status': 'GOLD'}","4f60009234e76f9f8969f6cca23b3b07e944e984",""
"50","0.5","Towards Controllable and Explainable Text Generation via Causal Intervention in LLMs","2025","2025-08-18","Jie Qiu, Quanrong Fang, Wenhao Kang","Large Language Models (LLMs) excel in diverse text generation tasks but still face limited controllability, opaque decision processes, and frequent hallucinations. This paper presents a structural causal intervention framework that models input–hidden–output dependencies through a structural causal model and performs targeted interventions on hidden representations. By combining counterfactual sample construction with contrastive training, our method enables precise control of style, sentiment, and factual consistency while providing explicit causal explanations for output changes. Experiments on three representative tasks demonstrate consistent and substantial improvements: style transfer accuracy reaches 92.3% (+7–14 percentage points over strong baselines), sentiment-controlled generation achieves 90.1% accuracy (+1.3–10.9 points), and multi-attribute conflict rates drop to 3.7% (a 40–60% relative reduction). Our method also improves causal attribution scores to 0.83–0.85 and human agreement rates to 87–88%, while reducing training and inference latency by 25–30% through sparse masking that modifies ≤10% of hidden units per attribute. These results confirm that integrating structural causal intervention with counterfactual training advances controllability, interpretability, and efficiency in LLM-based generation, offering a robust foundation for deployment in reliability-critical and resource-constrained applications.","Electronics","1","4.8","10.3390/electronics14163279","https://doi.org/10.3390/electronics14163279","","false","","2bfe9e6dc88ba273582765897019734235e4cc10",""
"51","0.5","Probing the Geometry of Truth: Consistency and Generalization of Truth Directions in LLMs Across Logical Transformations and Question Answering Tasks","2025","2025-06-01","Yuntai Bao, Xuhong Zhang, Tianyu Du, Xinkui Zhao, Zhengwen Feng, Hao Peng, Jianwei Yin","Large language models (LLMs) are trained on extensive datasets that encapsulate substantial world knowledge. However, their outputs often include confidently stated inaccuracies. Earlier works suggest that LLMs encode truthfulness as a distinct linear feature, termed the""truth direction"", which can classify truthfulness reliably. We address several open questions about the truth direction: (i) whether LLMs universally exhibit consistent truth directions; (ii) whether sophisticated probing techniques are necessary to identify truth directions; and (iii) how the truth direction generalizes across diverse contexts. Our findings reveal that not all LLMs exhibit consistent truth directions, with stronger representations observed in more capable models, particularly in the context of logical negation. Additionally, we demonstrate that truthfulness probes trained on declarative atomic statements can generalize effectively to logical transformations, question-answering tasks, in-context learning, and external knowledge sources. Finally, we explore the practical application of truthfulness probes in selective question-answering, illustrating their potential to improve user trust in LLM outputs. These results advance our understanding of truth directions and provide new insights into the internal representations of LLM beliefs. Our code is public at https://github.com/colored-dye/truthfulness_probe_generalization","ArXiv","1","2.4","10.48550/arXiv.2506.00823","https://doi.org/10.48550/arXiv.2506.00823","","true","{'url': 'https://arxiv.org/pdf/2506.00823.pdf', 'status': 'GOLD'}","1fdb57c5bf12c29748f735546d082432c31790e5",""
"52","0.5","Have Faith in Faithfulness: Going Beyond Circuit Overlap When Finding Model Mechanisms","2024","2024-03-26","Michael Hanna, Sandro Pezzelle, Yonatan Belinkov","Many recent language model (LM) interpretability studies have adopted the circuits framework, which aims to find the minimal computational subgraph, or circuit, that explains LM behavior on a given task. Most studies determine which edges belong in a LM's circuit by performing causal interventions on each edge independently, but this scales poorly with model size. Edge attribution patching (EAP), gradient-based approximation to interventions, has emerged as a scalable but imperfect solution to this problem. In this paper, we introduce a new method - EAP with integrated gradients (EAP-IG) - that aims to better maintain a core property of circuits: faithfulness. A circuit is faithful if all model edges outside the circuit can be ablated without changing the model's performance on the task; faithfulness is what justifies studying circuits, rather than the full model. Our experiments demonstrate that circuits found using EAP are less faithful than those found using EAP-IG, even though both have high node overlap with circuits found previously using causal interventions. We conclude more generally that when using circuits to compare the mechanisms models use to solve tasks, faithfulness, not overlap, is what should be measured.","ArXiv","52","32.4","10.48550/arXiv.2403.17806","https://doi.org/10.48550/arXiv.2403.17806","","true","{'url': 'https://arxiv.org/pdf/2403.17806.pdf', 'status': 'GOLD'}","0d8f8092ea3ee98a4ab5b797a7b5c0287c73ce36",""
"53","0.5","Unveiling Theory of Mind in Large Language Models: A Parallel to Single Neurons in the Human Brain","2023","2023-09-04","Mohsen Jamali, Ziv M. Williams, Jing Cai","With their recent development, large language models (LLMs) have been found to exhibit a certain level of Theory of Mind (ToM), a complex cognitive capacity that is related to our conscious mind and that allows us to infer another's beliefs and perspective. While human ToM capabilities are believed to derive from the neural activity of a broadly interconnected brain network, including that of dorsal medial prefrontal cortex (dmPFC) neurons, the precise processes underlying LLM's capacity for ToM or their similarities with that of humans remains largely unknown. In this study, we drew inspiration from the dmPFC neurons subserving human ToM and employed a similar methodology to examine whether LLMs exhibit comparable characteristics. Surprisingly, our analysis revealed a striking resemblance between the two, as hidden embeddings (artificial neurons) within LLMs started to exhibit significant responsiveness to either true- or false-belief trials, suggesting their ability to represent another's perspective. These artificial embedding responses were closely correlated with the LLMs' performance during the ToM tasks, a property that was dependent on the size of the models. Further, the other's beliefs could be accurately decoded using the entire embeddings, indicating the presence of the embeddings' ToM capability at the population level. Together, our findings revealed an emergent property of LLMs' embeddings that modified their activities in response to ToM features, offering initial evidence of a parallel between the artificial model and neurons in the human brain.","ArXiv","20","9.2","10.48550/arXiv.2309.01660","https://doi.org/10.48550/arXiv.2309.01660","","true","{'url': 'https://arxiv.org/pdf/2309.01660', 'status': 'GOLD'}","e29414150d604191df0f59c30d8c39fca438d3c2",""
"54","0.4","Testing theory of mind in large language models and humans","2024","2024-05-20","James W. A. Strachan, Dalila Albergo, Giulia Borghini, Oriana Pansardi, E. Scaliti, Saurabh Gupta, Krati Saxena, Alessandro Rufo, Stefano Panzeri, Guido Manzi, Michael S. A. Graziano, Cristina Becchio","At the core of what defines us as humans is the concept of theory of mind: the ability to track other people’s mental states. The recent development of large language models (LLMs) such as ChatGPT has led to intense debate about the possibility that these models exhibit behaviour that is indistinguishable from human behaviour in theory of mind tasks. Here we compare human and LLM performance on a comprehensive battery of measurements that aim to measure different theory of mind abilities, from understanding false beliefs to interpreting indirect requests and recognizing irony and faux pas. We tested two families of LLMs (GPT and LLaMA2) repeatedly against these measures and compared their performance with those from a sample of 1,907 human participants. Across the battery of theory of mind tests, we found that GPT-4 models performed at, or even sometimes above, human levels at identifying indirect requests, false beliefs and misdirection, but struggled with detecting faux pas. Faux pas, however, was the only test where LLaMA2 outperformed humans. Follow-up manipulations of the belief likelihood revealed that the superiority of LLaMA2 was illusory, possibly reflecting a bias towards attributing ignorance. By contrast, the poor performance of GPT originated from a hyperconservative approach towards committing to conclusions rather than from a genuine failure of inference. These findings not only demonstrate that LLMs exhibit behaviour that is consistent with the outputs of mentalistic inference in humans but also highlight the importance of systematic testing to ensure a non-superficial comparison between human and artificial intelligences.","Nature Human Behaviour","216","148.6","10.1038/s41562-024-01882-z","https://doi.org/10.1038/s41562-024-01882-z","","true","{'url': 'https://www.nature.com/articles/s41562-024-01882-z.pdf', 'status': 'GOLD'}","7d16a2de08fc5053e1026ffaa0bbd279302abca2",""
"55","0.4","Representation in large language models","2025","2025-01-01","Cameron C. Yetman","The extraordinary success of recent Large Language Models (LLMs) on a diverse array of tasks has led to an explosion of scientific and philosophical theorizing aimed at explaining how they do what they do. Unfortunately, disagreement over fundamental theoretical issues has led to stalemate, with entrenched camps of LLM optimists and pessimists often committed to very different views of how these systems work. Overcoming stalemate requires agreement on fundamental questions, and the goal of this paper is to address one such question, namely: is LLM behavior driven partly by representation-based information processing of the sort implicated in biological cognition, or is it driven entirely by processes of memorization and stochastic table look-up? This is a question about what kind of algorithm LLMs implement, and the answer carries serious implications for higher level questions about whether these systems have beliefs, intentions, concepts, knowledge, and understanding. I argue that LLM behavior is partially driven by representation-based information processing, and then I describe and defend a series of practical techniques for investigating these representations and developing explanations on their basis. The resulting account provides a groundwork for future theorizing about language models and their successors.","ArXiv","2","2.4","10.48550/arXiv.2501.00885","https://doi.org/10.48550/arXiv.2501.00885","","true","{'url': 'https://arxiv.org/pdf/2501.00885.pdf', 'status': 'GOLD'}","1dcf42fd384734b6232006cd9bab276625aa3ebe",""
